scheme,scheme_id,run,crypto_operation_cost_ms,security_wrapper_cost_ms
no_signature,no_signature,1,0.0,0.0
no_signature,no_signature,2,0.0,0.0
no_signature,no_signature,3,0.0,0.0
no_signature,no_signature,4,0.0,0.0
no_signature,no_signature,5,0.0,0.0
no_signature,no_signature,6,0.0,0.0
no_signature,no_signature,7,0.0,0.0
no_signature,no_signature,8,0.0,0.0
no_signature,no_signature,9,0.0,0.0
no_signature,no_signature,10,0.0,0.0
RSA-2048,RSA-2048,1,76.8327771602585,80.06999024616842
RSA-2048,RSA-2048,2,78.1780781288397,82.4374569393692
RSA-2048,RSA-2048,3,81.94851791738363,85.16840961664734
RSA-2048,RSA-2048,4,76.84764798575378,80.06958760592752
RSA-2048,RSA-2048,5,79.45885486667962,82.6510966266503
RSA-2048,RSA-2048,6,77.40140182975044,80.62326529257287
RSA-2048,RSA-2048,7,77.90272310570178,81.1561541682262
RSA-2048,RSA-2048,8,75.6819915992672,78.92748211820896
RSA-2048,RSA-2048,9,75.13664527796195,78.4026013904559
RSA-2048,RSA-2048,10,78.04408802262803,81.24461125194382
ECDSA-256,ECDSA-256,1,13.228046147463075,16.638466383834746
ECDSA-256,ECDSA-256,2,13.296140793439159,16.74620927660701
ECDSA-256,ECDSA-256,3,13.305538547574393,16.723344041383577
ECDSA-256,ECDSA-256,4,13.217744581245977,16.676047591414676
ECDSA-256,ECDSA-256,5,12.997997590961406,16.4485825458539
ECDSA-256,ECDSA-256,6,13.246511114605859,16.568087835330264
ECDSA-256,ECDSA-256,7,13.180081921163795,16.541171579931927
ECDSA-256,ECDSA-256,8,13.04415459356566,16.379423668452596
ECDSA-256,ECDSA-256,9,13.20220074926799,16.66334250747822
ECDSA-256,ECDSA-256,10,13.151310221679983,16.569885479208462
ML-DSA-44,ML-DSA-44,1,14.464858965948075,17.819371630321008
ML-DSA-44,ML-DSA-44,2,14.508115171920366,17.930923750585006
ML-DSA-44,ML-DSA-44,3,14.365213338751195,17.7148406913812
ML-DSA-44,ML-DSA-44,4,14.489418328739548,17.930745211584867
ML-DSA-44,ML-DSA-44,5,14.388930303199688,18.163374676368882
ML-DSA-44,ML-DSA-44,6,14.61775635563133,17.93460951691158
ML-DSA-44,ML-DSA-44,7,14.567888036059689,17.905561666702607
ML-DSA-44,ML-DSA-44,8,14.435078149738878,17.84807644396374
ML-DSA-44,ML-DSA-44,9,14.468662605698386,17.80164247766734
ML-DSA-44,ML-DSA-44,10,14.465774373384045,17.826024668368575
ML-DSA-65,ML-DSA-65,1,14.630736626568103,18.008505530693945
ML-DSA-65,ML-DSA-65,2,14.630842501064615,18.011680643345606
ML-DSA-65,ML-DSA-65,3,14.514379778799142,17.850295785853078
ML-DSA-65,ML-DSA-65,4,14.604818618390562,17.937249700771396
ML-DSA-65,ML-DSA-65,5,14.890797025679149,18.291248257737358
ML-DSA-65,ML-DSA-65,6,14.733009259604385,18.135208611298722
ML-DSA-65,ML-DSA-65,7,14.470752477257674,17.839146483456467
ML-DSA-65,ML-DSA-65,8,14.601544082397444,17.918321307903522
ML-DSA-65,ML-DSA-65,9,14.498011151250921,17.875581889723485
ML-DSA-65,ML-DSA-65,10,14.61878391603614,17.976007131704193
ML-DSA-87,ML-DSA-87,1,14.648175208906808,18.028859012410738
ML-DSA-87,ML-DSA-87,2,14.801523953404438,18.113532540931427
ML-DSA-87,ML-DSA-87,3,14.853746085621578,18.320227796405625
ML-DSA-87,ML-DSA-87,4,14.73090077595149,18.104978778476884
ML-DSA-87,ML-DSA-87,5,14.662063519159801,18.175299743888655
ML-DSA-87,ML-DSA-87,6,14.798642236273585,18.17630569760973
ML-DSA-87,ML-DSA-87,7,14.814725974574536,18.277533509147414
ML-DSA-87,ML-DSA-87,8,14.735672135526787,18.103577775570002
ML-DSA-87,ML-DSA-87,9,14.809963925896684,18.21044816092252
ML-DSA-87,ML-DSA-87,10,14.742518070076134,18.06432767383109
Falcon-padded-512,Falcon-padded-512,1,23.572020767605714,26.94408002988565
Falcon-padded-512,Falcon-padded-512,2,23.304714746191014,26.75306909504166
Falcon-padded-512,Falcon-padded-512,3,23.436570511354606,26.772600897044313
Falcon-padded-512,Falcon-padded-512,4,23.487567527918,26.864591651052606
Falcon-padded-512,Falcon-padded-512,5,23.49433399698061,26.815500231071436
Falcon-padded-512,Falcon-padded-512,6,23.790567307344794,27.17387934292951
